movieid,Title,Plot,Year,Genre,Runtime,Language,Director,Actors,IMDB,Pic,Youtube
tt0102926,The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1991,Crime | Drama | Thriller,1h 58min,"English, Latin",Jonathan Demme,"Jodie Foster, Anthony Hopkins",/title/tt0102926/,tt0102926.jpg,W6Mm8Sbe__o
tt0038650,It''s a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,1946,Drama | Family | Fantasy,2h 10min,"English, French",Frank Capra,"James Stewart, Donna Reed",/title/tt0038650/,tt0038650.jpg,ewe4lg8zTYA
tt6751668,Parasite,"A poor family, the Kims, con their way into becoming the servants of a rich family, the Parks. But their easy life gets complicated when their deception is threatened with exposure.",2019,Comedy | Drama | Thriller,2h 12min,"Korean, English",Bong Joon Ho,"Kang-ho Song, Sun-kyun Lee",/title/tt6751668/,tt6751668.jpg,w_0KJAzyUJc
tt0076759,Star Wars,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire''s world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1977,Action | Adventure | Fantasy,2h 1min,English,George Lucas,"Mark Hamill, Harrison Ford",/title/tt0076759/,tt0076759.jpg,8Qn_spdM5Zg
tt0120815,Saving Private Ryan,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",1998,Drama | War,2h 49min,"English, French, German, Czech",Steven Spielberg,"Tom Hanks, Matt Damon",/title/tt0120815/,tt0120815.jpg,zwhP5b4tD6g
tt0245429,Spirited Away,"During her family''s move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",2001,Animation | Adventure | Family,2h 5min,Japanese,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette",/title/tt0245429/,tt0245429.jpg,ByXuk9QqQkk
tt0120689,The Green Mile,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",1999,Crime | Drama | Fantasy,3h 9min,"English, French",Frank Darabont,"Tom Hanks, Michael Clarke Duncan",/title/tt0120689/,tt0120689.jpg,Ki4haFrqSrw
tt0816692,Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanity''s survival.,2014,Adventure | Drama | Sci-Fi,2h 49min,English,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",/title/tt0816692/,tt0816692.jpg,zSWdZVtXT7E
tt0110413,Léon,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin''s trade.",1994,Action | Crime | Drama,1h 50min,"English, Italian, French",Luc Besson,"Jean Reno, Gary Oldman",/title/tt0110413/,tt0110413.jpg,jawVxq1Iyl0
tt0114814,The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",1995,Crime | Mystery | Thriller,1h 46min,"English, Hungarian, Spanish, French",Bryan Singer,"Kevin Spacey, Gabriel Byrne",/title/tt0114814/,tt0114814.jpg,oiXdPolca5w
